physical_packet_uid,capture_uid,capture_packet_index,sequence_segment,schedule_slot,detection_index,start_sample_2m,predicted_start_sample_2m,timing_residual_samples,reference_id,association_method,association_confidence,status,crc_valid,decoded_frame_hex,catalog_frame_exact,grlora_snr_db,estimated_cfo_hz,sto,sfo,previous_anchor_detection,next_anchor_detection,schedule_period_samples,local_search_used,local_search_score,notes
exp000_sess000_run000:seg00:slot000038,exp000_sess000_run000,38,0,38,37,460264184,460263037,1147,38,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 26 00 01 77 F1 4E 6D 7A C1 54 22 02 15 AB E8 48 AE 1C 43 FE 78 56 34 12,1,-2.0840184688568115,-127.87554168701172,340.2484130859375,-0.0327751561999321,37,37,12003773.0,0,,
exp000_sess000_run000:seg00:slot000039,exp000_sess000_run000,39,0,39,38,472267490,472266810,680,39,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 27 00 BD 1A BE 3A 08 89 07 D5 F8 64 91 29 BF 71 75 0D 64 2B 78 56 34 12,1,-1.9860621690750122,-127.83734130859375,387.7073974609375,-0.03276536241173744,38,38,12003773.0,0,,
exp000_sess000_run000:seg00:slot000040,exp000_sess000_run000,40,0,40,39,484271862,484270583,1279,40,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 28 00 BB DF 57 F0 45 12 C4 20 EA 48 B9 9B 1F 20 35 86 FD C6 78 56 34 12,1,-1.9091137647628784,-127.83883666992188,320.4870910644531,-0.032765746116638184,39,39,12003773.0,0,,
exp000_sess000_run000:seg00:slot000041,exp000_sess000_run000,41,0,41,40,496274476,496274356,120,41,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 29 00 03 EA B2 34 4F EC 55 44 73 88 27 BE 1B B6 DC 3B E3 3E 78 56 34 12,1,-2.014380693435669,-127.86447143554688,431.1690673828125,-0.03277231752872467,40,40,12003773.0,0,,
exp000_sess000_run000:seg00:slot000042,exp000_sess000_run000,42,0,42,41,508278456,508278129,327,42,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 2A 00 7A B7 BD 8A 6B 1C 54 93 BA 93 1C DD 3B F3 9C 85 F3 AE 78 56 34 12,1,-1.9975265264511108,-127.85250091552734,345.49322509765625,-0.03276924788951874,41,41,12003773.0,0,,
exp000_sess000_run000:seg00:slot000043,exp000_sess000_run000,43,0,43,42,520282836,520281902,934,43,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 2B 00 33 D6 82 26 A6 D4 F3 28 E8 DC B9 65 AB 48 78 B3 25 A3 78 56 34 12,1,-1.1833378076553345,-127.84928131103516,319.8126525878906,-0.03276842460036278,42,42,12003773.0,0,,
exp000_sess000_run000:seg00:slot000044,exp000_sess000_run000,44,0,44,43,532286856,532285675,1181,44,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 2C 00 CC 13 D6 81 B0 3B 34 2A E6 66 43 E7 D0 DB CA F2 52 FA 78 56 34 12,1,-1.4827419519424438,-127.87249755859375,342.6422119140625,-0.03277437388896942,43,43,12003773.0,0,,
exp000_sess000_run000:seg00:slot000045,exp000_sess000_run000,45,0,45,44,544289137,544289448,-311,45,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 2D 00 B4 CF 59 3F 73 79 23 AB 57 39 D1 B4 DF B8 F0 0F D5 82 78 56 34 12,1,-1.4495054483413696,-127.89958190917969,452.101806640625,-0.032781317830085754,44,44,12003773.0,0,,
exp000_sess000_run000:seg00:slot000046,exp000_sess000_run000,46,0,46,45,556293428,556293221,207,46,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 2E 00 AA 5E F5 C8 74 80 62 28 AD 70 94 CC F3 B2 D1 A6 F3 5A 78 56 34 12,1,-1.4534775018692017,-127.88129425048828,326.9868469238281,-0.03277662768959999,45,45,12003773.0,0,,
exp000_sess000_run000:seg00:slot000047,exp000_sess000_run000,47,0,47,46,568297046,568296994,52,47,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 2F 00 D9 69 FF 2E F7 2C 2B 15 F7 E4 6C 66 AD 5E 5E 44 B0 54 78 56 34 12,1,-1.4162195920944214,-127.80879211425781,368.9625244140625,-0.03275804594159126,46,46,12003773.0,0,,
