detection_index,frame_count,start_sample_2m,preamble_end_sample_2m,estimated_packet_end_sample_2m,header_ok,crc_valid,decoded_frame_hex,decoded_payload_len,grlora_snr_db,cfo_hz,sto,sfo,netid1,netid2,samples_per_symbol
41,42,508278456,509605560,513799864,1,1,40 44 33 22 11 00 01 00 58 2A 00 7A B7 BD 8A 6B 1C 54 93 BA 93 1C DD 3B F3 9C 85 F3 AE 78 56 34 12,33,-1.9975265264511108,-127.85250091552734,345.49322509765625,-0.03276924788951874,8,16,65536
42,43,520282836,521609940,525804244,1,1,40 44 33 22 11 00 01 00 58 2B 00 33 D6 82 26 A6 D4 F3 28 E8 DC B9 65 AB 48 78 B3 25 A3 78 56 34 12,33,-1.1833378076553345,-127.84928131103516,319.8126525878906,-0.03276842460036278,8,16,65536
43,44,532286856,533613960,537808264,1,1,40 44 33 22 11 00 01 00 58 2C 00 CC 13 D6 81 B0 3B 34 2A E6 66 43 E7 D0 DB CA F2 52 FA 78 56 34 12,33,-1.4827419519424438,-127.87249755859375,342.6422119140625,-0.03277437388896942,8,16,65536
44,45,544289137,545616241,549810545,1,1,40 44 33 22 11 00 01 00 58 2D 00 B4 CF 59 3F 73 79 23 AB 57 39 D1 B4 DF B8 F0 0F D5 82 78 56 34 12,33,-1.4495054483413696,-127.89958190917969,452.101806640625,-0.032781317830085754,7,15,65536
45,46,556293428,557620532,561814836,1,1,40 44 33 22 11 00 01 00 58 2E 00 AA 5E F5 C8 74 80 62 28 AD 70 94 CC F3 B2 D1 A6 F3 5A 78 56 34 12,33,-1.4534775018692017,-127.88129425048828,326.9868469238281,-0.03277662768959999,7,15,65536
46,47,568297046,569624150,573818454,1,1,40 44 33 22 11 00 01 00 58 2F 00 D9 69 FF 2E F7 2C 2B 15 F7 E4 6C 66 AD 5E 5E 44 B0 54 78 56 34 12,33,-1.4162195920944214,-127.80879211425781,368.9625244140625,-0.03275804594159126,7,15,65536
47,48,580301035,581628139,585822443,1,1,40 44 33 22 11 00 01 00 58 30 00 66 68 25 48 BA DF C9 0E BF 17 9B A4 6B C2 F0 34 5E 3A 78 56 34 12,33,-1.3344091176986694,-127.80243682861328,344.714599609375,-0.032756417989730835,8,16,65536
48,49,592305907,593633011,597827315,1,1,40 44 33 22 11 00 01 00 58 31 00 0E 4F FD 4B 29 AE C5 17 3A BB D4 55 22 4B 34 BD 3B 54 78 56 34 12,33,-1.151313066482544,-127.81787109375,290.2666015625,-0.0327603742480278,7,15,65536
49,50,604309306,605636410,609830714,1,1,40 44 33 22 11 00 01 00 58 32 00 13 01 B3 EE 27 67 4D 23 F1 E1 68 0E 1B 88 FA 5C 61 00 78 56 34 12,33,-1.1782337427139282,-127.80341339111328,381.8450927734375,-0.03275666758418083,8,16,65536
50,51,616312942,617640046,621834350,1,1,40 44 33 22 11 00 01 00 58 33 00 37 A8 93 85 D8 75 E5 FC 3D 82 47 4C 40 63 71 E6 C1 39 78 56 34 12,33,-1.1100722551345825,-127.7447280883789,366.6576843261719,-0.03274162486195564,8,16,65536
51,52,628316214,629643318,633837622,1,1,40 44 33 22 11 00 01 00 58 34 00 50 FD 61 AD D0 7F 21 96 9A DF 97 05 C7 34 01 D6 02 1D 78 56 34 12,33,-1.2045869827270508,-127.71389770507812,390.2434387207031,-0.032733723521232605,7,15,65536
52,53,640320642,641647746,645842050,1,1,40 44 33 22 11 00 01 00 58 35 00 38 02 76 77 7E 0F B0 C3 75 5D 21 FA F9 16 5A C2 C3 E1 78 56 34 12,33,-1.0637614727020264,-127.73052978515625,317.56329345703125,-0.032737985253334045,8,16,65536
53,54,652323731,653650835,657845139,1,1,40 44 33 22 11 00 01 00 58 36 00 14 1F C9 DB C7 0D B4 33 1E 1C AE 03 3A 49 BD 56 C2 D0 78 56 34 12,33,-1.085371971130371,-127.75420379638672,400.5768127441406,-0.03274405375123024,8,16,65536
54,55,664328183,665655287,669849591,1,1,40 44 33 22 11 00 01 00 58 37 00 CC 52 21 79 C0 97 EB 29 37 5B 2D 87 9C D5 D2 DC E3 4F 78 56 34 12,33,-1.4816612005233765,-127.76214599609375,315.381591796875,-0.0327460914850235,8,16,65536
55,56,676331816,677658920,681853224,1,1,40 44 33 22 11 00 01 00 58 38 00 B7 26 94 89 CA 31 1E ED EC 21 4D E2 65 E9 94 0C 66 48 78 56 34 12,33,-1.374704360961914,-127.74190521240234,367.3485107421875,-0.03274090215563774,7,15,65536
56,57,688335719,689662823,693857127,1,1,40 44 33 22 11 00 01 00 58 39 00 98 E5 48 B0 B8 C0 F6 3B B1 8D DE C8 DE AF 3B 58 83 B8 78 56 34 12,33,-1.3928031921386719,-127.72394561767578,350.5267639160156,-0.03273629769682884,8,16,65536
57,58,700338495,701665599,705859903,1,1,40 44 33 22 11 00 01 00 58 3A 00 C0 A1 76 7F 93 9B 0D B1 DA A5 68 61 B0 56 12 4C 65 EC 78 56 34 12,33,-1.45894193649292,-127.69352722167969,421.0556335449219,-0.03272850438952446,7,15,65536
